2nd_primer_ID,admera_ID,2nd_primer_plate,2nd_primer_well,experiment,index_1_index_2,plate,timepoint,environment,replicate,Barcode_ID,count
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,AAL,1
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,AII,10
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,AKN,4
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,ALH,5
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,AMA,13690
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,AMS,4
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,ANC,6
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,ANK,24
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,ANT,7
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,APC,8
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,APL,1
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,APM,6
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,ASP,4
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BAC,3
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BAK,5
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BAN,5
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BAT,4
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BBI,16
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BBK,17
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BBV,6
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BCS,5
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BDM,49
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BEP,51135
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BER,14
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BFB,174256
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BFD,2
UDP0154,18032-178-01-58,B,B8,LT-EVO,NF16/NR16,P2,T79,SC-SDS,R17,BGK,3
